Time [s],Channel 1,Channel 2
175.282093120,1,0
175.282212000,1,1
175.782238400,0,1
175.782348000,0,0
176.282385920,1,0
176.282509440,1,1
176.782525440,0,1
176.782636800,0,0
177.282661120,1,0
177.282781920,1,1
177.782791360,0,1
177.782899680,0,0
178.282930720,1,0
178.283053760,1,1
178.783074080,0,1
178.783170400,0,0
179.283204640,1,0
179.283326400,1,1
179.783345760,0,1
179.783459040,0,0
180.283500480,1,0
180.283615680,1,1
180.783652320,0,1
180.783758880,0,0
181.283787360,1,0
181.283914720,1,1
181.783920800,0,1
181.784012640,0,0
182.284059040,1,0
182.284180160,1,1
182.784202880,0,1
182.784313760,0,0
183.284373600,1,0
183.284502240,1,1
183.784514080,0,1
183.784608480,0,0
184.284662880,1,0
184.284784960,1,1
184.784809120,0,1
184.784922240,0,0
185.284965920,1,0
185.285084480,1,1
185.785103360,0,1
185.785195840,0,0
186.285243200,1,0
186.285371360,1,1
186.785382240,0,1
186.785492960,0,0
187.285518720,1,0
187.285643680,1,1
187.785661280,0,1
187.785768800,0,0
188.285809600,1,0
188.285932960,1,1
188.785945920,0,1
188.786044800,0,0
189.286109760,1,0
189.286233760,1,1
189.786255360,0,1
189.786366080,0,0
190.286402560,1,0
190.286515520,1,1
190.786568000,0,1
190.786674720,0,0
191.286713120,1,0
191.286836960,1,1
191.786843520,0,1
191.786933600,0,0
192.286978880,1,0
192.287098720,1,1
192.787126400,0,1
192.787234560,0,0
193.287270560,1,0
193.287392640,1,1
193.787406720,0,1
193.787494560,0,0
194.287532800,1,0
194.287652640,1,1
194.787669760,0,1
194.787782080,0,0
195.287838080,1,0
195.287955520,1,1
195.787985440,0,1
195.788098400,0,0
196.288136800,1,0
196.288260960,1,1
196.788268480,0,1
196.788375680,0,0
197.288394720,1,0
197.288514720,1,1
197.788526240,0,1
197.788632320,0,0
198.288662240,1,0
198.288782560,1,1
198.788798080,0,1
198.788896480,0,0
199.288926240,1,0
199.289043840,1,1
199.789076800,0,1
199.789209280,0,0
200.289281280,1,0
200.289395040,1,1
200.789420160,0,1
200.789522400,0,0
201.289551040,1,0
201.289677440,1,1
201.789684480,0,1
201.789776960,0,0
202.289808480,1,0
202.289932960,1,1
202.789946240,0,1
202.790055680,0,0
203.290084000,1,0
203.290206240,1,1
203.790216320,0,1
203.790308640,0,0
204.290351360,1,0
204.290469760,1,1
204.790508640,0,1
204.790614720,0,0
205.290646080,1,0
205.290756960,1,1
205.790780640,0,1
205.790874400,0,0
206.290911040,1,0
206.291039200,1,1
206.791044000,0,1
206.791146720,0,0
207.291176160,1,0
207.291299840,1,1
207.791306240,0,1
207.791414240,0,0
208.291470880,1,0
208.291591520,1,1
208.791600480,0,1
208.791698400,0,0
209.291752640,1,0
209.291872000,1,1
209.791888640,0,1
209.792004320,0,0
210.292033760,1,0
210.292145440,1,1
210.792170400,0,1
210.792275680,0,0
211.292316160,1,0
211.292437600,1,1
211.792441120,0,1
211.792533920,0,0
212.292569760,1,0
212.292690720,1,1
212.792705760,0,1
212.792822400,0,0
213.292880960,1,0
213.293002080,1,1
213.793011840,0,1
213.793115360,0,0
214.293168960,1,0
214.293287360,1,1
214.793309120,0,1
214.793424320,0,0
215.293461600,1,0
215.293577120,1,1
215.793598560,0,1
215.793704480,0,0
216.293743200,1,0
